rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Competing Primary CTAs,URGENT,Homepage,Medium,2-5 days,5,10,no,conversion,"The hero's two equal-weight CTAs split user intent and add friction, delaying the path to purchase.",The hero presents two equally prominent CTAs (SHOP MEN and SHOP WOMEN) that split user intent and delay the path to purchase.,h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Make 'Shop All' the primary CTA to reduce decision load; keep gender links as secondary nav.,"Hero section contains both 'SHOP MEN' and 'SHOP WOMEN' CTAs, with no single primary action; the page also has 'Shop All' in the nav and 'Shop + -' in the cart drawer. | H1: 'Wildly Comfortable. Super Natural.' CTAs: 'SHOP MEN', 'SHOP WOMEN'","Funnel-Path & Commerce Clarity, Message Clarity",70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_1_competing_primary_ctas.html
2,Vague Hero Copy,URGENT,Homepage,Low,0.5-2 days,5,10,no,conversion,"The abstract hero copy fails to address visitor intent for comfortable, sustainable shoes, and generic CTAs don't guide toward a specific product.","The hero headline 'Wildly Comfortable. Super Natural.' is abstract and feature-led, failing to directly address the visitor's intent to find comfortable, sustainable shoes, and the CTAs 'SHOP MEN' and 'SHOP WOMEN' are generic, not guiding toward a specific product or benefit.","h1: Shoes That Feel Like Nothing Else; cta: Shop Best Sellers; notes: Use benefit-driven copy that speaks to the visitor's desire for comfort and sustainability. The CTA should be specific and action-oriented, guiding visitors to a curated collection like best sellers.","H1: 'Wildly Comfortable. Super Natural.' CTAs: 'SHOP MEN', 'SHOP WOMEN'",Message Clarity,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_2_vague_hero_copy.html
3,Shipping Delay Warning,URGENT,Homepage,Medium,2-5 days,5,10,no,conversion,The prominent '30-day shipping' warning creates immediate hesitation and undermines trust in brand reliability.,The prominent 'orders may take up to 30 days to ship' warning creates immediate hesitation and undermines trust in the brand's reliability.,"h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN; notes: Soften the message to 'Free shipping on orders over $100' and add a subtle note like 'Slight shipping delays possible' in a less prominent location, or provide a clear delivery promise with a date range.","Body sample: 'Due to increased demand, orders may take up to 30 days to ship.'",Trust & Objection,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_3_shipping_delay_warning.html
4,Missing H1 on Collection,HIGH,Homepage,Low,0.5-2 days,5,10,no,traffic,"The 'Shop All' collection page lacks an H1, missing SEO and user clarity, and the title is generic.","The 'Shop All' collection page lacks an H1 heading, leaving the page without a clear semantic anchor for both users and search engines, and the title 'SHOP ALL '26' is generic and doesn't communicate the value or purpose of the collection.","h1: Shop All Shoes & Apparel; cta: Filter by Category; notes: Add a clear H1 that describes the page content and includes relevant keywords. The CTA should be more descriptive, guiding users to filter or explore categories.",h1s: [] (empty array) on /collections/shop-all-26; title: 'SHOP ALL '26',Message Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_4_missing_h1_collection.html
5,Free Shipping Threshold Hidden,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion|trust,"The free shipping threshold is not mentioned in the hero, creating unmet expectations for lower-priced items.","The homepage hero promotes 'Wildly Comfortable. Super Natural.' without mentioning the $100 free shipping threshold, which is only disclosed in the sitewide banner, creating an expectation of free shipping that may not be met for lower-priced items.",h1: Wildly Comfortable. Super Natural. Free Shipping Over $100.; cta: SHOP MEN / SHOP WOMEN; notes: Include free shipping threshold in hero or near CTAs to set accurate expectations.,Homepage hero copy: 'Wildly Comfortable. Super Natural.'; sitewide banner: 'Free ground shipping on orders over $100'.,Pricing Transparency,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_5_free_shipping_threshold_hidden.html
6,Mega-Menu Choice Overload,HIGH,Navigation,Medium,2-5 days,5,10,no,conversion,The mega-menu with 20+ items risks choice overload and decision paralysis.,"The mega-menu presents 20+ items across multiple categories, risking choice overload and decision paralysis for users.","h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN; notes: Reduce mega-menu to top 5-7 items per category, use clear hierarchy, and avoid duplication. Consider a 'Shop All' as a single entry point.","nav_items list on homepage includes 20 items: 'New Arrivals', 'Shop All', 'Bestsellers', 'LEATHER ALTERNATIVES', 'Men's Shoes', 'Sneakers', 'Slip Ons', 'Sandals', 'Active', 'All-Weather', 'Runner NZ', 'Cruiser', 'Tree Runner NZ', 'Socks', 'Men's Apparel', 'Women's Shoes', 'Trainers', 'Flats', 'Canvas Cruiser', 'Women's Apparel'.",Nav & Distraction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_6_mega_menu_choice_overload.html
7,Misleading Get Notified CTA,URGENT,Product Page,Medium,2-5 days,4,10,no,conversion,"The 'Get Notified' CTA on an in-stock product page misleads users into signing up for notifications instead of adding to cart, directly losing sales.",The 'Get Notified' CTA on a product page for an in-stock item creates a bypass that may lead to lost sales if the item is actually available.,h1: Anytime Ankle Sock; cta: Add to Cart; notes: Replace 'Get Notified' with 'Add to Cart' if the item is available; only show 'Get Notified' when truly out of stock.,"The product page for Anytime Ankle Sock includes a 'Get Notified' CTA, which is typically for out-of-stock items; the inventory shows prices and size selectors exist, implying the item is purchasable.",Funnel-Path & Commerce Clarity,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_7_misleading_get_notified_cta.html
8,Out-of-Stock Form Missing Size,HIGH,Product Page,Medium,2-5 days,4,10,no,conversion,"The back-in-stock alert form likely captures only email, missing size preference, reducing future conversion.","The product page for the Anytime Ankle Sock shows a 'Get Notified' CTA, indicating the item is out of stock, but the form likely only captures an email, missing the opportunity to capture size preference and reduce future friction.","h1: Anytime Ankle Sock; cta: Get Notified When Back in Stock; notes: Include a size selector in the notification form to capture size preference, enabling more targeted restock alerts and reducing friction when the item returns.","The product page CTAs include 'Get Notified' and the h1 is 'Anytime Ankle Sock'. The form inventory for this page was not fully captured, but the presence of 'Get Notified' suggests a back-in-stock alert form.",Form / Friction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_8_out_of_stock_form_missing_size.html
9,Missing Review Count,HIGH,Product Page,Medium,2-5 days,4,10,no,trust,"The product page lacks visible review count or rating, missing social proof at the decision point.","The product page shows a reviews section but no visible review count or rating summary, leaving buyers without social proof at the decision point.","h1: Anytime Ankle Sock; cta: Add to Cart; notes: Add a review summary near the price or CTA, e.g., '4.8/5 from 2,300+ reviews' to provide immediate social proof.",H2s include 'Reviews for Anytime Ankle Sock' but no review count or star rating appears in the body sample or CTAs.,Trust & Objection,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_9_missing_review_count.html
10,Single-Field Email Capture,HIGH,Forms & Signup,Medium,2-5 days,3,10,no,conversion,"The email signup lacks an incentive and privacy note, lowering opt-in rates.","The homepage email signup form asks only for an email address, which is the minimum viable field set and reduces friction, but it lacks a trust layer (e.g., privacy note, incentive) which may lower opt-in rates.","h1: Wildly Comfortable. Super Natural.; cta: Sign Up for 10% Off; notes: Add a clear incentive (e.g., 'Get 10% off your first order') and a privacy reassurance (e.g., 'No spam, unsubscribe anytime') to increase opt-in rates.","The homepage form has 1 input, no labels, and submit button 'Sign Up'. The body sample shows 'Subscribe to our emails Sign Up' with no additional context or incentive.",Form / Friction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_10_single_field_email_capture.html
